Name,Desc
Adaptability,"Powers up moves of the same type."
Aerilate,"Turns Normal-type moves into Flying-type moves."
Aftermath,"Damages the attacker landing the finishing hit."
Air Lock,"Eliminates the effects of weather."
Analytic,"Boosts move power when the Pokémon moves last."
Anger Point,"Maxes Attack after taking a critical hit."
Anger Shell,"Lowers Defense/Sp. Def and raises Attack/Sp. Atk/Speed when HP drops below half."
Anticipation,"Senses a foe's dangerous moves."
Arena Trap,"Prevents the foe from fleeing."
Armor Tail,"Prevents opponent using priority moves."
Aroma Veil,"Protects allies from attacks that limit their move choices."
As One,"Combines Unnerve and Chilling Neigh/Grim Neigh"
Aura Break,"Reduces power of Dark- and Fairy-type moves."
Bad Dreams,"Reduces a sleeping foe's HP."
Ball Fetch,"Retrieves a Poké Ball from a failed throw."
Battery,"Raises power of teammates' Special moves."
Battle Armor,"The Pokémon is protected against critical hits."
Battle Bond,"Transform into Ash-Greninja after causing opponent to faint."
Beads of Ruin,"Lowers Special Defense of all Pokémon except itself."
Beast Boost,"The Pokémon boosts its most proficient stat each time it knocks out a Pokémon."
Berserk,"Raises Special Attack when HP drops below half."
Big Pecks,"Protects the Pokémon from Defense-lowering attacks."
Blaze,"Powers up Fire-type moves in a pinch."
Bulletproof,"Protects the Pokémon from ball and bomb moves."
Cheek Pouch,"Restores additional HP when a Berry is consumed."
Chilling Neigh,"Boosts Attack after knocking out a Pokémon."
Chlorophyll,"Boosts the Pokémon's Speed in sunshine."
Clear Body,"Prevents other Pokémon from lowering its stats."
Cloud Nine,"Eliminates the effects of weather."
Color Change,"Changes the Pokémon's type to the foe's move."
Comatose,"The Pokémon is always asleep but can still attack."
Commander,"Goes inside the mouth of an ally Dondozo if one is on the field."
Competitive,"Sharply raises Special Attack when the Pokémon's stats are lowered."
Compound Eyes,"The Pokémon's accuracy is boosted."
Contrary,"Makes stat changes have an opposite effect."
Corrosion,"The Pokémon can poison Steel and Poison types."
Costar,"Copies ally's stat changes on entering battle."
Cotton Down,"Lowers foe's Speed when hit."
Cud Chew,"Can eat the same Berry twice."
Curious Medicine,"Resets all stat changes upon entering battlefield."
Cursed Body,"May disable a move used on the Pokémon."
Cute Charm,"Contact with the Pokémon may cause infatuation."
Damp,"Prevents the use of self-destructing moves."
Dancer,"Copies the foe's Dance moves."
Dark Aura,"Raises power of Dark type moves for all Pokémon in battle."
Dauntless Shield,"Boosts Defense in battle."
Dazzling,"Protects the Pokémon from high-priority moves."
Defeatist,"Lowers stats when HP drops below half."
Defiant,"Sharply raises Attack when the Pokémon's stats are lowered."
Delta Stream,"Creates strong winds when the ability activates."
Desolate Land,"Turns the sunlight extremely harsh when the ability activates."
Disguise,"Avoids damage for one turn."
Download,"Adjusts power according to a foe's defenses."
Dragon;s Maw,"Powers up Dragon-type moves."
Drizzle,"The Pokémon makes it rain when it enters a battle."
Drought,"Turns the sunlight harsh when the Pokémon enters a battle."
Dry Skin,"Reduces HP if it is hot. Water restores HP."
Early Bird,"The Pokémon awakens quickly from sleep."
Earth Eater,"Restores HP when hit by a Ground-type move."
Effect Spore,"Contact may poison or cause paralysis or sleep."
Electric Surge,"The Pokémon creates an Electric Terrain when it enters a battle."
Electromorphosis,"Doubles power of the next Electric-type move when hit by an attack."
Embody Aspect,"Boosts Attack/Defense/Sp. Def/Speed depending on the form."
Emergency Exit,"Switches out when HP falls below %."
Fairy Aura,"Raises power of Fairy type moves for all Pokémon in battle."
Filter,"Reduces damage from super-effective attacks."
Flame Body,"Contact with the Pokémon may burn the attacker."
Flare Boost,"Powers up special attacks when burned."
Flash Fire,"It powers up Fire-type moves if it's hit by one."
Flower Gift,"Powers up party Pokémon when it is sunny."
Flower Veil,"Prevents lowering of ally Grass-type Pokémon's stats."
Fluffy,"Halves damage from contact moves,but doubles damage from Fire-type moves."
Forecast,"Castform transforms with the weather."
Forewarn,"Determines what moves a foe has."
Friend Guard,"Reduces damage done to allies."
Frisk,"The Pokémon can check a foe's held item."
Full Metal Body,"Prevents other Pokémon from lowering its stats."
Fur Coat,"Reduces damage from physical moves."
Gale Wings,"Gives priority to Flying-type moves."
Galvanize,"Normal-type moves become Electric-type moves and their power boosted."
Gluttony,"Encourages the early use of a held Berry."
Good as Gold,"Gives immunity to status moves."
Gooey,"Contact with the Pokémon lowers the attacker's Speed stat."
Gorilla Tactics,"Boosts the Pokémon's Attack stat but only allows the use of the first selected move."
Grass Pelt,"Boosts the Defense stat in Grassy Terrain."
Grassy Surge,"The Pokémon creates a Grassy Terrain when it enters a battle."
Grim Neigh,"Boosts Special Attack after knocking out a Pokémon."
Guard Dog,"Boosts Attack if intimidated,and prevents being forced to switch out."
Gulp Missile,"Returns with a catch in its mouth after using Surf or Dive."
Guts,"Boosts Attack if there is a status problem."
Hadron Engine,"Creates an Electric Terrain when entering battle,and boosts Special Attack while active."
Harvest,"May create another Berry after one is used."
Healer,"May heal an ally's status conditions."
Heatproof,"Weakens the power of Fire-type moves."
Heavy Metal,"Doubles the Pokémon's weight."
Honey Gather,"The Pokémon may gather Honey from somewhere."
Hospitality,"Partially restores an ally's HP when it enters a battle."
Huge Power,"Raises the Pokémon's Attack stat."
Hunger Switch,"Changes forms each turn."
Hustle,"Boosts the Attack stat,but lowers accuracy."
Hydration,"Heals status problems if it is raining."
Hyper Cutter,"Prevents other Pokémon from lowering Attack stat."
Ice Body,"The Pokémon gradually regains HP in a hailstorm."
Ice Face,"Avoids damage from Physical moves for one turn."
Ice Scales,"Halves damage from Special moves."
Illuminate,"Raises the likelihood of meeting wild Pokémon."
Illusion,"Enters battle disguised as the last Pokémon in the party."
