Move,Type,Category,Power,Accuracy,PP,Effect,Probability
10000000 Volt Thunderbolt,ELECTRIC,Special,195,,1,Pikachu-exclusive Z-Move. High critical hit ratio.,
Absorb,GRASS,Special,20,100,25,User recovers half the HP inflicted on opponent.,
Accelerock,ROCK,Physical,40,100,20,+1 Priority. User attacks first.,
Acid,POISON,Special,40,100,30,Targets ajdacent foes. May lower opponent's Special Defense.,10
Acid Armor,POISON,Status,,,20,Sharply raises user's Defense.,
Acid Downpour,POISON,,,,1,Poison type Z-Move.,
Acid Spray,POISON,Special,40,100,20,Sharply lowers opponent's Special Defense.,100
Acrobatics,FLYING,Physical,55,100,15,Stronger when the user does not have a held item.,
Acupressure,NORMAL,Status,,,30,Sharply raises a random stat.,
Aerial Ace,FLYING,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,
Aeroblast,FLYING,Special,100,95,5,High critical hit ratio.,
After You,NORMAL,Status,,,15,Gives target priority in the next turn.,
Agility,PSYCHIC,Status,,,30,Sharply raises user's Speed.,
Air Cutter,FLYING,Special,60,95,25,Targets ajdacent foes. High critical hit ratio.,
Air Slash,FLYING,Special,75,95,15,May cause flinching.,30
All-Out Pummeling,FIGHTING,,,,1,Fighting type Z-Move.,
Alluring Voice,FAIRY,Special,80,100,10,,
Ally Switch,PSYCHIC,Status,,,15,+2 Priority. User switches with opposite teammate.,
Amnesia,PSYCHIC,Status,,,20,Sharply raises user's Special Defense.,
Anchor Shot,STEEL,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
Ancient Power,ROCK,Special,60,100,5,May raise all user's stats at once.,10
Apple Acid,GRASS,Special,80,100,10,Lowers target's Special Defense.,100
Aqua Cutter,WATER,Physical,70,100,20,High critical hit ratio.,
Aqua Jet,WATER,Physical,40,100,20,+1 Priority. User attacks first.,
Aqua Ring,WATER,Status,,,20,Restores a little HP each turn.,
Aqua Step,WATER,Physical,80,100,10,Raises user's Speed.,100
Aqua Tail,WATER,Physical,90,90,10,,
Arm Thrust,FIGHTING,Physical,15,100,20,Hits 2-5 times in one turn.,
Armor Cannon,FIRE,Special,120,100,5,Lowers user's Defense and Special Defense.,
Aromatherapy,GRASS,Status,,,5,Cures all status problems in your party.,
Aromatic Mist,FAIRY,Status,,,20,Raises Special Defense of an ally.,
Assist,NORMAL,Status,,,20,User performs a move known by its allies at random.,
Assurance,DARK,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.,
Astonish,GHOST,Physical,30,100,15,May cause flinching.,30
Astral Barrage,GHOST,Special,120,100,5,Targets ajdacent foes. The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
Attack Order,BUG,Physical,90,100,15,High critical hit ratio.,
Attract,NORMAL,Status,,100,15,If opponent is the opposite gender it's less likely to attack.,
Aura Sphere,FIGHTING,Special,80,∞,20,Ignores Accuracy and Evasiveness.,
Aura Wheel,ELECTRIC,Physical,110,100,10,Changes type based on Morpeko's Mode.,100
Aurora Beam,ICE,Special,65,100,20,May lower opponent's Attack.,10
Aurora Veil,ICE,Status,,,20,Halves damage from Physical and Special attacks for five turns.,
Autotomize,STEEL,Status,,,15,Reduces weight and sharply raises Speed.,
Avalanche,ICE,Physical,60,100,10,-4 Priority. Power doubles if user took damage first.,
Axe Kick,FIGHTING,Physical,120,90,10,May confuse opponent. If it misses the user loses HP.,
Baby-Doll Eyes,FAIRY,Status,,100,30,+1 Priority. Always goes first. Lowers the target's attack.,
Baddy Bad,DARK,Special,90,100,15,Reduces damage from Physical attacks.,
Baneful Bunker,POISON,Status,,,10,+4 Priority. Protects the user and poisons opponent on contact.,
Barb Barrage,POISON,Physical,60,100,10,Inflicts double damage if the target has a status condition.,
Barrage,NORMAL,Physical,15,85,20,Hits 2-5 times in one turn.,
Barrier,PSYCHIC,Status,,,20,Sharply raises user's Defense.,
Baton Pass,NORMAL,Status,,,40,User switches out and gives stat changes to the incoming Pokémon.,
Beak Blast,FLYING,Physical,100,100,15,-3 Priority. The user first heats up its beak and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.,
Beat Up,DARK,Physical,,100,10,Each Pokémon in user's party attacks.,
Behemoth Bash,STEEL,Physical,100,100,5,Damage doubles if target is Dynamaxed.,
Behemoth Blade,STEEL,Physical,100,100,5,Damage doubles if target is Dynamaxed.,
Belch,POISON,Special,120,90,10,User must have consumed a Berry.,
Belly Drum,NORMAL,Status,,,10,User loses 50% of its max HP but Attack raises to maximum.,
Bestow,NORMAL,Status,,,15,Gives the user's held item to the target.,
Bide,NORMAL,Physical,,,10,User takes damage for two turns then strikes back double.,
Bind,NORMAL,Physical,15,85,20,Traps opponent damaging them for 4-5 turns.,100
